주제ID,주제,진입각도,카테고리,관련증상·성분,국내사용횟수,최고배수,대표영상URL,최근사용일,소진도,논쟁성(상·중·하),약사권위활용도(상·중·하),제품연결가능성,배정가능인물,상태,사람검토,사람메모
TOPIC-PHARMACY-ALTERNATIVE-001,약국템 대체 비교,유명 제품보다 나은 대체품은?,의약품·약국템,비판텐·판테놀케어·노스카나·스카힐골드·라미실·바르지오·알보칠·페리덱스·후시딘·마데카솔·바세린·큐립,1,19.26,https://www.instagram.com/oyakstory/reel/DbVMg0nvMtU/,2026-08-04,미측정,중,상,높음,오약·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbVMg0nvMtU에서 배수 19.26 확인
TOPIC-SKIN-PHARMACY-001,약국 피부템 6가지,약사가 실제로 쓰는 피부 고민별 선택,피부·뷰티,선크림·PDRN·덱스판테놀·세비타비겔·아젤리아·히드로퀴논·비타민K,1,,https://www.instagram.com/eunha__yak/reel/C7RB_JTvmgE/,2026-08-04,미측정,중,상,높음,김주성·선영·공용,후보,,
TOPIC-FOOD-CARB-001,여름 음식 탄수화물,건강해 보이는 음식도 양과 형태를 먼저 봐야 할까?,건강·식단·대사,미숫가루·수박주스·묵사발·콩국수·총탄수화물·식후걷기,1,2.25,https://www.instagram.com/o2yaksa/reel/Dbk8KBVJyCA/,2026-08-04,미측정,중,상,높음,김주성·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbk8KBVJyCA에서 배수 2.25 확인
TOPIC-COLLAGEN-CHOICE-001,콜라겐 제품 선택 기준,콜라겐은 함량·근거·기간을 보고 골라야 할까?,건강·뷰티·영양제,가수분해 콜라겐 펩타이드·함량·인체적용시험·비타민C·단백질,1,0.89,https://www.instagram.com/o2yaksa/reel/Dbf5N-aJT8k/,2026-08-04,미측정,중,상,높음,김주성·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL Dbf5N-aJT8k에서 배수 0.89 확인
TOPIC-SKIN-BASE-3-001,비타민C·PDRN·레티놀 기본 3가지,40대 이후 피부 루틴은 성분을 줄여야 할까?,피부·뷰티·항노화,비타민C·PDRN·레티놀·피부 탄력·색소,1,,https://www.instagram.com/o2yaksa/reel/DQG2kA5CQUB/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,공개 프로필 그리드 캡션에서 주제 확인; 영상 세부 검토 대기
TOPIC-NUTRIENT-LABEL-001,영양제 라벨 뒷면 읽기,앞면 숫자보다 1일 섭취량과 실제 기능성분을 봐야 할까?,영양제·건강기능식품,1일 섭취량·EPA·DHA·원료 브랜드·제형,1,,https://www.instagram.com/o2yaksa/reel/DbGBam_prvS/,2026-08-04,미측정,중,상,높음,김주성·오약·공용,후보,,공개 프로필 그리드 캡션에서 주제 확인; 영상 세부 검토 대기
TOPIC-CHILD-SLEEP-001,아이 연령별 수면시간,우리 아이 나이에 맞는 수면시간과 낮잠 횟수는?,육아·수면·영양제,4~12개월·1~2세·3~5세·6~12세·13~18세·낮잠,1,10.84,https://www.instagram.com/eunha__yak/reel/DbkpReKMuCV/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbkpReKMuCV에서 배수 10.84 확인
TOPIC-CHILD-SUPPLEMENT-STAGE-001,아이 영양제 성장 시기별 선택,필수 성분과 선택 성분을 나이별로 어떻게 나눌까?,육아·영양제·성장,유산균·비타민D·철분·미네랄·오메가3·종합비타민·아르기닌,1,0.77,https://www.instagram.com/eunha__yak/reel/DbVUOJ2M37H/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbVUOJ2M37H에서 배수 0.77 확인
TOPIC-ADOLESCENT-ACNE-3STEP-001,청소년 여드름 3단계 관리,먹는 것·씻는 것·바르는 것을 어떤 순서로 관리할까?,피부·청소년건강,오메가3·비타민C·비타민D·AHA·BHA·보습·여드름,1,,https://www.instagram.com/on.yaksa/reel/DbUlNd3JArt/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,
TOPIC-GLP1-NUTRIENT-MUSCLE-001,GLP1 사용 중 근육·영양 관리,체중 감량 중 단백질과 영양소를 어떻게 지킬까?,건강·대사·영양제,마운자로·GLP1·단백질·오메가3·종합비타민·식이섬유·비타민D·K2,1,,https://www.instagram.com/on.yaksa/reel/DbCXdVZvtB6/,2026-08-04,미측정,중,상,높음,김주성·선영·공용,후보,,
TOPIC-ANTIBIOTIC-PROBIOTIC-001,아이 항생제와 유산균 병용,항생제와 유산균은 같이 먹어도 될까? 간격은 얼마일까?,육아건강·약물안전,항생제·유산균·LGG·사카로미세스·2시간 간격·설사,1,,https://www.instagram.com/joy_pharm1212/reel/DaEa-5EPIED/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,
TOPIC-MENSTRUAL-SUPPLEMENT-001,생리통 영양 관리,진통제 전에 마그네슘·오메가3·비타민D를 확인할까?,여성건강·영양제,생리통·마그네슘·오메가3·비타민D·염증·자궁근육,1,,https://www.instagram.com/joy_pharm1212/reel/DY5x7zvvdn2/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,
TOPIC-CHILD-VITAMINC-001,아이 비타민C가 필요한 상황,비염·코피·채소 기피·가족 흡연 상황에서 무엇을 확인할까?,육아건강·영양제,비타민C·비염·코피·군것질·채소·간접흡연,1,0.34,https://www.instagram.com/oneul_pharmacy/reel/DbOB-dYJcjF/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbOB-dYJcjF에서 배수 0.34 확인
TOPIC-SMOKE-VITAMINC-001,가족 흡연과 아이 영양 신호,간접흡연 가정에서 아이의 피로·식욕·피부 신호를 어떻게 볼까?,육아건강·영양제,간접흡연·비타민C·감기·피로·식욕·잇몸·멍,1,0.08,https://www.instagram.com/oneul_pharmacy/reel/DbLjWOzJem8/,2026-08-04,미측정,중,상,높음,선영·김주성·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbLjWOzJem8에서 배수 0.08 확인
TOPIC-MEDICATION-MISTAKES-001,약국에서 반복되는 복약 실수,감기약·변비약·연고·가글·항생제·비강 스프레이에서 무엇을 조심할까?,의약품·약물안전,덱시부프로펜·락툴로오스·항생제·비강 스프레이·냉장보관·가글,1,0.72,https://www.instagram.com/gangnam_kimyaksa/reel/DbLF0Ttv03N/,2026-08-04,미측정,중,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbLF0Ttv03N에서 배수 0.72 확인
TOPIC-MOSQUITO-BITE-CARE-001,모기 물림 약국 대처,모기 물렸을 때 민간요법 대신 무엇부터 할까?,피부·약물안전,항히스타민제·하이드로코르티손·냉찜질·봉와직염,1,0.71,https://www.instagram.com/ej_yaksa/reel/DbkuslGTffo/,2026-08-04,미측정,중,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbkuslGTffo에서 배수 0.71 확인
TOPIC-INFANT-HEAT-RASH-001,아기 땀띠 약국 관리,아기 땀띠에 스테로이드부터 바르기 전 무엇을 확인할까?,육아건강·피부,칼라민·덱스판테놀·스테로이드 연고·땀띠,1,1.16,https://www.instagram.com/ej_yaksa/reel/DbVcEs9z-2I/,2026-08-04,미측정,중,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbVcEs9z-2I에서 배수 1.16 확인
TOPIC-SPONSORED-INGREDIENT-CHECK-001,광고 표기 후 성분표 비교,협찬·광고 콘텐츠에서도 성분표와 효능 주장을 어떻게 구분해 볼까?,식품·영양제·광고,성분표·첨가제·NAD+·세놀리틱·효능 주장,2,,https://www.instagram.com/yak.golnam/reel/DZZQhMXPvb3/,2026-08-04,미측정,상,중,높음,김주성·오약·선영·공용,후보,,
TOPIC-ESSENTIAL-SUPPLEMENTS-TOP3-001,필수 영양제 TOP3,직장인·수험생이 먼저 확인할 기본 영양제 3개는 무엇일까?,영양제·직장인건강,비타민D·유산균·오메가3·섭취 용량·복용 방법,1,1.57,https://www.instagram.com/hisutamine/reel/DbNyslZPO3J/,2026-08-04,미측정,중,상,중,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DbNyslZPO3J에서 배수 1.57 확인
TOPIC-PROTEIN-SHAKE-LABEL-001,단백질 쉐이크 라벨 해부,단백질 함량만 보지 말고 성분·가격·맛까지 어떻게 비교할까?,식품·제품비교·다이어트,단백질·순탄수화물·당류·분리대두단백·식물성크림,1,,https://www.instagram.com/hisutamine/reel/Da_sX41Ppuc/,2026-08-04,미측정,중,상,높음,김주성·오약·선영·공용,후보,,
TOPIC-EYE-DROPS-TIER-001,약국 인공눈물 티어표,눈 건조와 렌즈 사용 상황에서 약국 인공눈물을 어떻게 비교할까?,의약품·약국템·안구건조,인공눈물·보습·무방부제·렌즈,1,43.1,https://www.instagram.com/yak.golnam/reel/DWDzUvgD_2C/,2026-08-04,미측정,중,상,높음,김주성·오약·선영·공용,후보,,최고배수 보정(2026-08-06): 국내사용횟수 1건의 대표영상URL DWDzUvgD_2C에서 배수 43.1 확인
