ID,발견일시,발견엔진,계정핸들,계정명,팔로워,계정유형,국가,게시일,경과일,영상URL,shortcode,형식(릴스·캐러셀),길이초,조회수,좋아요,댓글,계정중앙조회수,배수,좋아요율,계정평소좋아요율,참여율비,댓글좋아요비,광고점수,광고판정,광고근거,카테고리,소주제,진입각도,증상·성분키워드,포맷ID,훅유형,훅문구(첫3초 자막 원문),구조,편집장치,촬영,길이대,음원명,포맷소진도,국내약사사용계정수,이식후보여부,용도(내용·형식·둘다),배정가능(김주성·오약·선영·공용·불가),등급,제외사유,한줄요약,왜터졌나(가설),우리버전제안(훅 문구 3개),캡처파일,이식심사점수,사람검토,사람메모,지표수집일시,썸네일파일,게이트판정,게이트근거,등급근거,유료도달의심,유료도달근거
OYAK-DbVMg0nvMtU,2026-08-04T19:15:03+09:00,E1,oyakstory,오약 | 영양제 • 이너뷰티 | 오주헌 약사,2935,국내 약사 인플루언서,,2026-07-28,8,https://www.instagram.com/oyakstory/reel/DbVMg0nvMtU/,DbVMg0nvMtU,릴스,39,135199,1205,17,7020,19.26,0.008913,0.032179,0.277,0.0141,0,광고아님,캡션에 광고 표기 없음,약물안전·복약,일반의약품 비교,유명 제품 대체,비판텐·판테놀케어·노스카나·스카힐골드·라미실·바르지오·알보칠·페리덱스·후시딘·마데카솔·바세린·큐립,FMT-ITEM-ALTERNATIVE-001,질문형,약국에서 아직도 이거 달라고 하시나요?,문제 제기→6개 품목 비교→저장 CTA,제품명 자막·대체품 화살표·번호 목록,화면 자료 중심 릴스; 화자 노출 여부 미확인,,오리지널 오디오,무주공산,1,검토,내용·형식,김주성·선영,A,,약국에서 자주 찾는 6개 품목을 유명 제품과 대체 제품으로 비교,검색 수요가 있는 제품명을 한 장면에서 연속 비교하고 저장 행동을 유도함(가설),"약국에서 10초 줄이려면?;유명한 약이 정답일까?;같은 증상, 다른 약국템 6개",DbVMg0nvMtU_1.jpg;DbVMg0nvMtU_2.jpg;DbVMg0nvMtU_3.jpg;DbVMg0nvMtU_4.jpg,,,"배정 재판정(콘텐츠 전환): 김주성·선영; 근거=선영 허용 범위 | 포맷ID URL 근거 보정(2026-08-06): formats.csv 대표영상URL 3개에 동일 영상URL가 있어 FMT-ITEM-ALTERNATIVE-001로 연결; 카테고리 §5 정규화(2026-08-06): 의약품·약국템 → 약물안전·복약; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 | 캡처 재시도(2026-08-07): 릴스 DOM·본문·표시 지표(좋아요 1.3천·댓글 17·리포스트 168)·게시일(2026-07-28) 확인 후 fullPage:false Page.captureScreenshot 처리 중 대상 탭 닫힘; lease 해제 시 소유권 불일치로 거부됨; 캡처파일 공란 유지·개별 재시도 필요 | 2026-08-07T03:45:34+09:00 캡처 재시도: 릴스 DOM·본문·표시 지표(좋아요 1.3천·댓글 17·리포스트 170)·게시일 2026-07-28 확인. fullPage:false Page.captureScreenshot가 CDP timeout으로 실패해 프레임 파일을 저장하지 못함. 캡처파일 공란 유지. 이 실패는 blocker가 아니며 다음 후보로 전환. | 2026-08-07T13:54:22+09:00 E1 로그인 Instagram 프레임 캡처: 0:15/0:38 영상 화면을 영상 영역으로 잘라 JPG 저장. 나머지 프레임은 후속 배치 대상. | 2026-08-07T14:06:12+09:00 E1 로그인 Instagram 프레임 캡처 후속: 영상 영역에서 0:26/0:38, 0:31/0:38, 0:36/0:38 세 컷을 JPG 저장.",2026-08-05T09:41:02.491Z,DbVMg0nvMtU.jpg,통과,"형식 레퍼런스 예외(배수 19.26≥10, 조회수 13.5만; 조회수 무관)",A: 조회수 135199 ≥ 10만,예,참여율비 0.277 < 1/3
EUNHA-C7RB_JTvmgE,2026-08-04T19:21:18+09:00,E1,eunha__yak,은하약사 | 손혜림,11.3만,국내 약사 인플루언서,,2024-05-22,805,https://www.instagram.com/eunha__yak/reel/C7RB_JTvmgE/,C7RB_JTvmgE,릴스,27,142000,8964,132,,,,0.06753,,0.0147,1,불명,제품 6개 추천; 광고·협찬 표기 없음,피부·뷰티,약국 피부템,화장대 공개→6개 추천,선크림·리쥬비넥스크림·비판텐·세비타비겔·아젤리아크림·멜라토닝크림·비타민K크림,FMT-ITEM-ALTERNATIVE-001,목록형,하얀피부에 목숨거는 여자약사 약국 피부템 대공개,자기문제 제시→6개 제품 소개→관리 CTA,제품명 자막·색상 이모지·번호 목록,화장대 제품 공개형 릴스,,오리지널 오디오,무주공산,1,검토,내용·형식,오약·선영,A,,여자약사가 실제 화장대에서 약국 피부템 6가지를 공개,개인 경험과 제품명을 한 번에 제시해 피부 고민 시청자의 저장 수요를 자극함(가설),"약사가 화장대에서 꺼낸 피부템 6개;여드름·색소침착 약국템만 모았다;피부 고민별 약국템, 하나씩 고르세요",,,,"지표수집 실패: 공개 재생수·릴스 길이 메타 미노출 | 배정 재판정(콘텐츠 전환): 오약·선영; 근거=뷰티는 김주성 불가; 선영 허용 범위 | 포맷ID URL 근거 보정(2026-08-06): formats.csv 대표영상URL 3개에 동일 영상URL가 있어 FMT-ITEM-ALTERNATIVE-001로 연결; 계정평소좋아요율 보정(2026-08-06): accounts.csv 동일 계정 값 0.06753; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요 | 캡처 재시도(2026-08-07): 릴스 DOM·본문·표시 지표(좋아요 9천·댓글 133·리포스트 3)·게시일(2024-05-22) 확인 후 fullPage:false Page.captureScreenshot CDP timeout; lease 해제 소유권 불일치로 거부됨; 캡처파일 공란 유지·개별 재시도 필요 E3 직접 읽기: 로그인 Instagram reel DOM 영상 player duration_seconds 27.281994, 표시 0:27 확인; 길이초 27초 기록; DOM 게시일 2024-05-22는 원장 게시일과 일치; 표시 좋아요 9천·댓글 133·리포스트 3은 기존 지표를 덮어쓰지 않음; 캡처파일 저장 없음.",2026-08-06T02:12:20+09:00,C7RB_JTvmgE.jpg,판정불가(지표없음),조회수·배수 없음,A: 조회수 142000 ≥ 10만,불명,참여율비 없음
ON-DYMxNgBP848,2026-08-04T19:27:55+09:00,E1,on.yaksa,건강을 ON💡약사 이강미,2751,국내 약사 인플루언서,,2026-06-18,48,https://www.instagram.com/on.yaksa/reel/DYMxNgBP848/,DYMxNgBP848,릴스,25.2,15000,,6,,,,,,,2,불명,선크림 5개 제품 추천; 광고·협찬 표기 없음; 프로필 자체 스마트스토어 링크 존재,피부·뷰티,선크림 비교,올리브영 선크림 BEST5,무기자차·녹두·논나노·피부장벽·톤업·자작나무,,랭킹형,선크림 BEST5를 정리해봤어요,문제 제기→5개 랭킹→바르는 법 체크리스트,순위 자막·제품명·체크리스트,제품 비교 중심 릴스,,믹스 오디오,무주공산,1,검토,내용·형식,선영,미달,,약사가 올리브영에서 구매 가능한 선크림 5개를 순위와 사용법으로 정리,제품 선택 부담을 순위로 줄이고 즉시 구매 가능한 브랜드를 제시함(가설),"올리브영 선크림, 약사가 고른 5개;민감피부 선크림을 순위로 고르면;SPF보다 먼저 볼 성분 3가지",,,,지표수집 실패: 공개 재생수 메타 미노출 | 지표 정정: 공개 좋아요 0은 미노출 placeholder로 확인되어 빈칸 처리 | 배정 재판정(콘텐츠 전환): 선영; 근거=뷰티는 김주성 불가; 제품 리뷰형 뷰티는 오약 불가; 선영 허용 범위,2026-08-06T02:12:20+09:00,DYMxNgBP848.jpg,판정불가(지표없음),조회수·배수 없음,미달: 조회수 15000; 배수 ,불명,참여율비 없음
JOY-DZEOaxNPCMa,2026-08-04T19:31:14+09:00,E1,joy_pharm1212,조이약사 | 수지 조이약국 | 맞춤 건강상담,157,국내 약사 인플루언서,,2026-06-02,64,https://www.instagram.com/joy_pharm1212/reel/DZEOaxNPCMa/,DZEOaxNPCMa,릴스,41.7,90000,,3,,,,,,,0,광고아님,캡션에 광고·협찬 표기 없음; 약물-음식 상호작용 교육,약물안전·복약,약물-음식,주의 조합 3가지,자몽·혈압약·고지혈증약·우유·항생제·생양배추·갑상선약,FMT-FAMILIAR-REQUEST-COUNSEL-001,목록형,약 먹으면서 이렇게 먹고 계신 분 있나요?,문제 제기→3개 조합 설명→약사에게 질문 CTA,경고 이모지·체크 목록·화살표,릴스; 촬영 방식 미확인,30-45초,오리지널 오디오,여유 있음,3,검토,내용·형식,김주성·오약·선영·공용,미달,,약물과 음식의 대표 상호작용 3가지를 약사가 짧게 설명,금지 조합을 구체적인 음식과 약 이름으로 제시해 즉시 확인 수요를 만듦(가설),"약 먹을 때 같이 피해야 할 음식 3가지;자몽주스와 약, 왜 같이 먹으면 안 될까?;약 봉투 받기 전에 꼭 물어볼 한마디",,,,지표수집 실패: 공개 재생수 메타 미노출 | 지표 정정: 공개 좋아요 0은 미노출 placeholder로 확인되어 빈칸 처리 | 배정 재판정(콘텐츠 전환): 김주성·오약·선영·공용; 근거=선영 허용 범위; 카테고리 §5 정규화(2026-08-06): 약물안전·상호작용 → 약물안전·복약 | 2026-08-11T22:03:22.069+09:00 오프라인 포맷 연결: raw discovery의 직접 캡션이 익숙한 복용 질문→약물·음식 상호작용 3가지→약사에게 확인할 질문으로 이어져 FMT-FAMILIAR-REQUEST-COUNSEL-001에 연결했다. FMT-MED-MISTAKES-001은 보조 후보지만 원문에 실수 목록 프레임이 없어 선택하지 않았다. 41.7초·조회수 90000·좋아요 공란·댓글 3·중앙조회수/배수 공란·등급 미달·게이트 판정불가·유료도달 불명을 유지했다. 약물별 상호작용 적용 범위는 별도 근거 검토가 필요하다.,2026-08-06T02:12:20+09:00,DZEOaxNPCMa.jpg,판정불가(지표없음),조회수·배수 없음,미달: 조회수 90000; 배수 ,불명,참여율비 없음
GANGNAM-DYi1ECIvAeJ,2026-08-04T19:34:11+09:00,E1,gangnam_kimyaksa,강남김약사,944,국내 약사 인플루언서,,2026-05-21,76,https://www.instagram.com/gangnam_kimyaksa/reel/DYi1ECIvAeJ/,DYi1ECIvAeJ,릴스,6.5,2649,44,1,826,3.21,0.01661,0.042545,0.3904,0.0227,1,불명,트록세루틴·압박스타킹·피크노제놀 추천; 광고·협찬 표기 없음,증상,다리 붓기 관리,다리 붓기 관리템 3종,트록세루틴·압박스타킹·피크노제놀·정맥순환·미세순환,,목록형,오후만 되면 다리가 붓고 아픈 분들을 위한 관리템 3종,증상 제시→3개 관리템 설명→진료 필요 경고,번호 목록·체크 표시·주의 문구,제품·성분 설명 중심 릴스,,Yoshimasa Terui • Delirious,무주공산,1,검토,내용·형식,오약·선영,미달,,약사가 다리 붓기 증상과 관리 선택지 3가지를 설명하고 진료 필요 신호를 덧붙임,증상으로 시작해 선택지와 위험 신호를 함께 줘 정보 탐색 의도가 분명함(가설),"오후 다리 붓기, 무엇부터 확인할까?;붓기 관리템 3개를 약사에게 물었습니다;한쪽 다리만 붓는다면 먼저 확인할 것",,,,배정 재판정(콘텐츠 전환): 오약·선영; 근거=뷰티는 김주성 불가; 선영 허용 범위; 카테고리 §5 정규화(2026-08-06): 건강·뷰티·대사 → 증상,2026-08-05T09:42:16.341Z,DYi1ECIvAeJ.jpg,미달,"~1만 구간(배수 3.21/8, 조회수 2649/3만)",미달: 조회수 2649; 배수 3.21,아니오,참여율비 0.3904 ≥ 1/3
EJ-DVGgD6wk1Y8,2026-08-04T19:35:16+09:00,E1,ej_yaksa,슈가팁스 | 당 관리 루틴 공유하는 약사 김은정,1455,국내 약사 인플루언서,,2026-02-23,163,https://www.instagram.com/ej_yaksa/reel/DVGgD6wk1Y8/,DVGgD6wk1Y8,릴스,29.9,5217,59,45,454,11.5,0.011309,0.030755,0.3677,0.7627,1,불명,캡션에 광고·협찬 표기 없음; 게시물 상세 내용이 제한적으로 보임,다이어트,약국 다이어트템,성분 2개 확인,혈당·대사 관련 성분 정보는 상세 확인 필요,FMT-DIET-INGREDIENT-QUESTION-001,질문형,약국 다이어트템은 이 성분 두가지만 확인하세요,질문형 훅→성분 2개 소개(상세 미확인)→정보 CTA(미확인),후킹 자막·릴스,게시물 상세 촬영 방식 미확인,,Company Money • Drift Skunk,무주공산,1,검토,형식,오약·선영,F,캡션 상세 내용이 제한적으로 보여 성분과 구조는 추가 확인이 필요,약국 다이어트템에서 핵심 성분 2개를 확인하라는 질문형 콘텐츠,짧은 성분 기준을 제시하는 질문형 훅이 선택 부담을 줄일 가능성(가설),"약국 다이어트템, 성분부터 보세요;당 관리 루틴에서 먼저 볼 두 가지;다이어트 제품 고르기 전 확인할 것",,,,배정 재판정(콘텐츠 전환): 김주성·오약·선영·공용; 근거=선영 허용 범위 | 배정 재판정(콘텐츠 전환): 오약·선영; 근거=다이어트 단독은 김주성 불가; 선영 허용 범위; F급 정규화(2026-08-06): 용도 형식 · 훅+구조+편집장치 지문 국내 사용 1계정 · 각색안 존재; 카테고리 §5 정규화(2026-08-06): 혈당·대사·다이어트 → 다이어트; 중간 프레임 캡처 보류(2026-08-06): 현재 브라우저 배치 탭 DOM 공란·CDP Page.captureScreenshot 시간초과; 캡처파일 공란 유지·개별 재시도 필요; 캡처 재시도(2026-08-07): 릴스 DOM·본문 확인 후 Page.captureScreenshot 처리 중 대상 탭 닫힘; 캡처파일 공란 유지·개별 재시도 필요 | F급 형식 전용 콘텐츠의 canonical 훅·구조·편집장치로 신규 포맷 카드 생성. 기존 국내 약사 사용 수·포맷소진도는 원장값을 보존하고 추가 사용 수·E10·중간 프레임은 후속 대상.,2026-08-05T09:42:32.641Z,DVGgD6wk1Y8.jpg,통과,"형식 레퍼런스 예외(배수 11.5≥10, 조회수 5217; 조회수 무관)",F: 형식 전용 · 훅·구조·편집장치 지문 국내 사용 1계정 · 각색안 기록,아니오,참여율비 0.3677 ≥ 1/3
YAK-DXT6okcDyaI,2026-08-04T19:36:29+09:00,E1,yak.golnam,약골라주는남자 | 약사 박준형,7911,국내 약사 인플루언서,,2026-04-19,108,https://www.instagram.com/yak.golnam/reel/DXT6okcDyaI/,DXT6okcDyaI,릴스,44.3,9724,118,0,1440,6.75,0.012135,0.026397,0.4597,0,1,불명,제품 5개 추천; 광고·협찬 표기 없음; 프로필 상담 링크 존재,약물안전·복약,땀 억제제,약국 땀 억제제 종결 티어표,드리클로·노스엣·노스엣 센스·드라이언·스웨트롤,,티어표,땀쟁이들 필독💦 약국 땀 억제제 종결 티어표,문제 제기→5~1위 티어→저장 CTA,순위 자막·제품명·장점/주의 요약,제품 비교 중심 릴스,,오리지널 오디오,무주공산,1,검토,내용·형식,김주성·선영,미달,,약국 땀 억제제 5개를 효과·자극·가성비와 함께 순위로 정리,제품군 안에서 선택 기준을 순위로 압축하고 여름 전 저장을 유도함(가설),약국 땀 억제제 티어표;드리클로가 자극적이라면 대안은?;여름 전에 약사가 고른 땀 관리템,,,,배정 재판정(콘텐츠 전환): 김주성·선영; 근거=선영 허용 범위; 카테고리 §5 정규화(2026-08-06): 의약품·약국템 → 약물안전·복약,2026-08-05T09:42:49.433Z,DXT6okcDyaI.jpg,미달,"~1만 구간(배수 6.75/8, 조회수 9724/3만)",미달: 조회수 9724; 배수 6.75,아니오,참여율비 0.4597 ≥ 1/3
HISU-DXQWklDDxvD,2026-08-04T19:38:01+09:00,E1,hisutamine,오희수｜약사 히수타민,1.4만,국내 약사 인플루언서,,2026-04-19,108,https://www.instagram.com/hisutamine/reel/DXQWklDDxvD/,DXQWklDDxvD,릴스,42.1,4190,140,5,453,9.25,0.033413,0.236203,0.1415,0.0357,1,불명,약국 화장품 5개 추천; 광고·협찬 표기 없음,피부·뷰티,약국 화장품·민감건성,약국템 애정템 공개,노드라나액·프로캄 EGF·리쥬부스터 PDRN·레드엑스·판테놀·프로캄 판테놀 립에센스,,목록형,약사추천) 약국템으로 피부관리하기,민감·건성 피부 맥락→5개 제품 소개→사용감·성분 설명,제품명·번호·성분 자막,제품 공개 중심 릴스,,momo's • 나는 사랑둥이,무주공산,1,검토,내용·형식,오약·선영,미달,,민감성·건성 피부를 가진 약사가 약국 피부템 5개를 애정템으로 소개,피부 타입을 먼저 밝힌 뒤 제품과 성분을 연결해 시청자 자기 대입을 쉽게 함(가설),민감성 약사가 꾸준히 쓴 약국템;속건조·색소침착에 약국템 5개;약국 화장품 고르는 기준을 공개합니다,,,,배정 재판정(콘텐츠 전환): 선영; 근거=뷰티는 김주성 불가; 제품 리뷰형 뷰티는 오약 불가; 선영 허용 범위 | 배정 재판정(콘텐츠 전환): 오약·선영; 근거=뷰티는 김주성 불가; 선영 허용 범위,2026-08-05T09:43:07.924Z,DXQWklDDxvD.jpg,미달,"1만~5만 구간(배수 9.25/6, 조회수 4190/10만)",미달: 조회수 4190; 배수 9.25,예,참여율비 0.1415 < 1/3
O2YAKSA-Dbk8KBVJyCA,2026-08-04T19:50:21+09:00,E1,o2yaksa,산소약사 김정현,2.4만,국내 약사 인플루언서,,2026-08-03,2,https://www.instagram.com/o2yaksa/reel/Dbk8KBVJyCA/,Dbk8KBVJyCA,릴스,53.1,1890,30,0,839,2.25,0.015873,0.027501,0.5772,0,0,광고아님,캡션에 광고·협찬 표기 없음; 음식 선택·섭취 순서 교육,다이어트,여름 음식 탄수화물,뜻밖의 음식 경고→우선순위 4단계,미숫가루·수박주스·묵사발·콩국수·탄수화물·식후걷기,FMT-CARB-PRIORITY-001,경고형,여름에 살찌기 쉬운 뜻밖의 음식들,뜻밖의 음식 제시→탄수화물 설명→실천 4단계→영양제 오해 교정,각설탕 비유·번호 목록·체크리스트,화면 자료·화자 노출 여부 미확인,미측정,,무주공산,1,검토,내용·형식,김주성·선영,미달,,약사가 여름 음식의 탄수화물과 섭취 순서를 설명하고 4단계 실천법을 제시,건강해 보이는 음식의 숨은 탄수화물을 각설탕 비유와 순서 조언으로 구체화해 자기 점검 수요를 만듦(가설),"여름에 살찌기 쉬운 음식 4가지;건강해 보여도 혈당을 흔드는 식사;식후 10분, 무엇부터 바꿀까?",,,검토,배정 재판정(콘텐츠 전환): 김주성·선영; 근거=선영 허용 범위 | 포맷ID URL 근거 보정(2026-08-06): formats.csv 대표영상URL 3개에 동일 영상URL가 있어 FMT-CARB-PRIORITY-001로 연결; 카테고리 §5 정규화(2026-08-06): 건강·식단·대사 → 다이어트,2026-08-05T09:43:10.401Z,Dbk8KBVJyCA.jpg,미달,"1만~5만 구간(배수 2.25/6, 조회수 1890/10만)",미달: 조회수 1890; 배수 2.25,아니오,참여율비 0.5772 ≥ 1/3
O2YAKSA-Dbf5N-aJT8k,2026-08-04T19:50:21+09:00,E1,o2yaksa,산소약사 김정현,2.4만,국내 약사 인플루언서,,2026-08-01,4,https://www.instagram.com/o2yaksa/reel/Dbf5N-aJT8k/,Dbf5N-aJT8k,릴스,38,746,21,0,839,0.89,0.02815,0.027501,1.0236,0,1,불명,제품 성분·함량 기준 교육; 공개 캡션에 광고 표기 없음,영양제·성분,콜라겐 제품 선택,함량→근거→기간,콜라겐·가수분해 펩타이드·비타민C·단백질·아연·구리,FMT-INGREDIENT-3CHECK-001,질문형,"콜라겐, 먹어도 소용없다고 느끼셨나요?",문제 제기→함량·원료·기간 3단계→보조 영양소,번호 목록·성분 자막,화면 자료·화자 노출 여부 미확인,미측정,,무주공산,1,검토,내용·형식,오약·선영,미달,,약사가 콜라겐 제품을 고를 때 실제 함량·근거·관찰 기간을 확인하는 순서를 설명,효과 체감의 조건을 함량·원료·기간으로 나눠 제품 선택의 판단 기준을 제공함(가설),"콜라겐, 함량부터 확인했나요?;8주 전에는 효과를 판단하지 마세요;제품 앞면보다 뒷면을 보세요",,,검토,배정 재판정(콘텐츠 전환): 오약·선영; 근거=뷰티는 김주성 불가; 선영 허용 범위 | 포맷ID URL 근거 보정(2026-08-06): formats.csv 대표영상URL 3개에 동일 영상URL가 있어 FMT-INGREDIENT-3CHECK-001로 연결; 카테고리 §5 정규화(2026-08-06): 건강·뷰티·영양제 → 영양제·성분,2026-08-05T09:43:12.979Z,Dbf5N-aJT8k.jpg,미달,"1만~5만 구간(배수 0.89/6, 조회수 746/10만)",미달: 조회수 746; 배수 0.89,아니오,참여율비 1.0236 ≥ 1/3
