포맷ID,포맷명,한줄정의,훅유형,구조(비트 단위로 초 배분까지),길이대,편집장치,촬영,자막스타일,제작난이도(상·중·하),필요장비,대표영상URL 3개,대표배수중앙값,국내약사사용계정수,국내약사사용영상수,국내최초사용일,국내최근사용일,소진도,인접버티컬사용,해외사용,이식가능성(상·중·하),이식근거,각색안,어떤주제와붙나,배정적합인물,우리사용이력,재사용가능일,상태,사람검토,사람메모
FMT-ITEM-ALTERNATIVE-001,유명 제품→대체 제품 6선,익숙한 제품을 같은 증상 대체품과 짝지어 비교,질문형,0-2초 질문→2-18초 6쌍 비교→18-22초 저장 CTA,20-30초,제품명 X→Y 자막·번호·화살표,화면 자료 중심 릴스,대비 색상·큰 제품명,중,스마트폰·제품 이미지,https://www.instagram.com/oyakstory/reel/DbVMg0nvMtU/;https://www.instagram.com/eunha__yak/reel/C7RB_JTvmgE/,,2,2,2024-05-22,2026-08-04,여유 있음,생활용품 비교,미조사,상,제품명과 대체품 관계가 명확해 정보 전달과 저장 CTA로 이식 가능,김주성: 영양제·성분 비교; 오약: 약국템; 선영: 피부·건강템,약국템 대체·피부 약국템,김주성·오약·선영,미사용,,후보,,
FMT-CARB-PRIORITY-001,뜻밖의 음식→4단계 탄수화물 체크,건강해 보이는 여름 음식의 탄수화물 부담을 비유와 실천 순서로 압축,경고형,0-2초 뜻밖의 음식 경고→2-10초 4개 음식 제시→10-20초 탄수화물 설명→20-28초 4단계 실천→저장 CTA,20-30초,각설탕 비유·번호 목록·체크리스트,화면 자료 중심 릴스,큰 경고 문구·음식명·실천 체크,중,스마트폰·음식 이미지,https://www.instagram.com/o2yaksa/reel/Dbk8KBVJyCA/,2.25,1,1,2026-08-04,2026-08-04,무주공산,다이어트·식단,미조사,상,"익숙한 여름 음식과 각설탕 비유를 연결하고, 탄수화물 확인·섭취 순서·식후 걷기까지 행동으로 끝냄",김주성: 혈당·대사; 오약: 약국 식단; 선영: 피부·건강 루틴,여름 음식·혈당·식후 루틴,김주성·오약·선영,미사용,,후보,,대표배수중앙값 보정(2026-08-06): 대표영상URL 1개와 canonical contents.csv 배수 2.25에서 중앙값 2.25 산출
FMT-INGREDIENT-3CHECK-001,제품 선택 함량→근거→기간 3단계,제품 효과를 판단하기 전에 실제 함량·원료 근거·관찰 기간을 순서대로 확인,질문형,0-2초 효과 체감 질문→2-10초 실제 함량 확인→10-18초 원료 근거 확인→18-25초 관찰 기간→저장 CTA,20-30초,3단계 번호 자막·성분 키워드·체크 표시,화면 자료 중심 릴스,질문형 첫 문장·3단계 숫자·핵심어 강조,중,스마트폰·제품 라벨 이미지,https://www.instagram.com/o2yaksa/reel/Dbf5N-aJT8k/,0.89,1,1,2026-08-04,2026-08-04,무주공산,건강기능식품·피부,미조사,상,제품명을 바로 추천하지 않고 함량·근거·기간이라는 판단 순서를 제시해 정보형 콘텐츠로 이식 가능,김주성: 영양제 성분; 오약: 제품 라벨; 선영: 피부 성분,콜라겐·영양제·성분 비교,김주성·오약·선영,미사용,,후보,,대표배수중앙값 보정(2026-08-06): 대표영상URL 1개와 canonical contents.csv 배수 0.89에서 중앙값 0.89 산출
FMT-AGE-STAGE-GUIDE-001,연령별 기준표→필수·선택 가이드,연령 구간을 기준으로 수면·영양제 선택을 표처럼 압축,질문형,0-2초 부모 고민→2-8초 연령 구간→8-20초 수면·성분 기준→20-28초 필수·선택 구분→상담 CTA,20-30초,연령 구간·필수/선택 대비·표 자막,화면 자료 중심 릴스,나이 숫자 강조·색상 구분,중,스마트폰·표 이미지,https://www.instagram.com/eunha__yak/reel/DbkpReKMuCV/;https://www.instagram.com/eunha__yak/reel/DbVUOJ2M37H/,5.8,1,2,2026-08-04,2026-08-04,무주공산,육아·교육,미조사,상,부모가 묻는 나이·수면·성분 질문을 연령 기준표와 필수·선택 구분으로 재사용 가능,김주성: 성장기 영양; 오약: 연령별 영양제; 선영: 가족 건강,아이 수면·아이 영양제·성장기 건강,김주성·오약·선영,미사용,,후보,,"대표배수중앙값 보정(2026-08-06): 대표영상URL 2개와 canonical contents.csv 배수 10.84, 0.77에서 중앙값 5.8 산출"
FMT-THREE-STEPS-TAKE-WASH-APPLY-001,먹는 것→씻는 것→바르는 것 3단계,피부 고민을 섭취·세안·보습 세 단계로 나눠 행동 순서를 제시,단계형,0-2초 피부 고민→2-8초 먹는 것→8-15초 씻는 것→15-22초 바르는 것→CTA,20-30초,3단계 숫자·성분 자막·금지 표시,화면 자료 중심 릴스,단계별 색상·행동 체크,중,스마트폰·성분 이미지,https://www.instagram.com/on.yaksa/reel/DbUlNd3JArt/,,2,2,2026-08-04,2026-08-04,여유 있음,피부·청소년건강,미조사,상,복잡한 피부 고민을 먹는 것·씻는 것·바르는 것으로 나눠 짧은 행동 순서로 전달,선영: 피부 루틴; 김주성: 영양 성분; 오약: 약국 피부템,청소년 여드름·피부 장벽·보습,김주성·오약·선영,미사용,,후보,,국내 약사 사용 수 보정(2026-08-06): canonical contents.csv 포맷ID 연결 기준 2계정·2영상 확정(기존 1계정·1영상); 소진도 정합성 보정(2026-08-06): 국내약사사용계정수 2건 기준으로 무주공산에서 여유 있음로 정리
FMT-GLP1-FIVE-ESSENTIALS-001,약물 사용 중 필수 관리 5가지,약물 사용 상황에서 영양·운동·부작용 관리 요소를 5개로 압축,목록형,0-3초 약물 사용 상황→3-20초 5가지 항목→20-28초 저장 CTA,20-30초,5개 번호·성분 이모지·저장 표시,화면 자료 중심 릴스,큰 숫자·영양 요소 대비,중,스마트폰·성분 이미지,https://www.instagram.com/on.yaksa/reel/DbCXdVZvtB6/,,1,1,2026-08-04,2026-08-04,무주공산,다이어트·대사,미조사,상,약물 사용자의 상황을 먼저 제시하고 근육·영양 관리 요소를 5개로 저장 가능하게 정리,김주성: GLP1 영양; 오약: 성분 체크; 선영: 체중·피부 관리,GLP1·단백질·근손실·영양 관리,김주성·오약·선영,미사용,,후보,,
FMT-EVIDENCE-NUMBER-CTA-001,근거 수치→복약 간격 행동,임상시험 수치나 복약 간격을 한 장면에 제시하고 즉시 행동으로 연결,근거형,0-3초 상황 질문→3-12초 근거 수치→12-22초 간격·행동 기준→저장 CTA,20-30초,수치 강조·시간 화살표·주의 자막,화면 자료 중심 릴스,숫자·시간 대비·주의 표시,중,스마트폰·논문 수치 이미지,https://www.instagram.com/joy_pharm1212/reel/DaEa-5EPIED/,,1,1,2026-08-04,2026-08-04,무주공산,약물안전·육아건강,미조사,상,복약 상황과 임상시험 수치를 연결해 기억할 간격 행동으로 끝냄,김주성: 영양 근거; 오약: 복약 체크; 선영: 육아 건강,항생제·유산균·복약 간격,김주성·오약·선영,미사용,,후보,,
FMT-SYMPTOM-3NUTRIENTS-001,반복 증상→성분 3가지,반복되는 증상이나 상황을 대표 영양 성분 3개로 압축,질문형,0-2초 증상 질문→2-15초 성분 3개→15-22초 생활 습관→저장·상담 CTA,20-30초,성분 이모지·체크 목록·저장 표시,화면 자료 중심 릴스,증상 키워드·성분명 크게 표시,하,스마트폰·성분 이미지,https://www.instagram.com/joy_pharm1212/reel/DY5x7zvvdn2/,,2,2,2026-08-04,2026-08-04,여유 있음,여성건강·영양제,미조사,상,생리통이라는 반복 증상을 성분 3개로 단순화해 저장과 상담 행동으로 연결,선영: 여성건강; 김주성: 영양 성분; 오약: 복약 상담,생리통·여성건강·미네랄,김주성·오약·선영,미사용,,후보,,국내 약사 사용 수 보정(2026-08-06): canonical contents.csv 포맷ID 연결 기준 2계정·2영상 확정(기존 1계정·1영상); 소진도 정합성 보정(2026-08-06): 국내약사사용계정수 2건 기준으로 무주공산에서 여유 있음로 정리
FMT-SITUATION-TOP5-001,상황별 영양제 TOP5,아이의 생활 상황을 다섯 가지 사례로 나눠 성분 선택 기준을 제시,목록형,0-2초 질문→2-18초 상황 5개→18-25초 우선순위→저장 CTA,20-30초,TOP5 번호·상황별 자막·핵심 문장 강조,화면 자료 중심 릴스,상황 키워드·성분명 대비,하,스마트폰·성분 이미지,https://www.instagram.com/oneul_pharmacy/reel/DbOB-dYJcjF/,0.34,6,8,2026-08-04,2026-08-04,소진,육아·건강교육,미조사,상,부모가 익숙한 생활 상황을 TOP5로 묶어 성분 선택 기준과 저장 행동으로 연결,선영: 아이 건강; 김주성: 성분 비교; 오약: 약국템,아이 비타민·성장·면역,김주성·오약·선영,미사용,,후보,,국내 약사 사용 수 보정(2026-08-06): canonical contents.csv 포맷ID 연결 기준 6계정·8영상 확정(기존 1계정·1영상) | 대표배수중앙값 보정(2026-08-06): 대표영상URL 1개와 canonical contents.csv 배수 0.34에서 중앙값 0.34 산출; 소진도 정합성 보정(2026-08-06): 국내약사사용계정수 6건 기준으로 무주공산에서 소진로 정리
FMT-MED-MISTAKES-001,약국 실수 9가지 정답 목록,약국에서 반복되는 복약·보관 실수를 상황별 정답으로 압축,목록형,0-2초 실수 경고→2-22초 9개 실수·정답→22-28초 저장 CTA,20-30초,번호 목록·체크 표시·경고 문구,화면 자료 중심 릴스,실수 문구와 정답 대비,하,스마트폰·약품 이미지,https://www.instagram.com/gangnam_kimyaksa/reel/DbLF0Ttv03N/,0.72,4,4,2026-08-04,2026-08-04,소진,복약상담·약물안전,미조사,상,실제 약국 질문을 9개로 압축하고 각 항목에 바로 고칠 행동을 붙여 저장·공유에 적합,김주성: 복약안전; 오약: 약국 질문; 선영: 생활 건강,약 복용·보관·사용법·약물안전,김주성·오약·선영,미사용,,후보,,국내 약사 사용 수 보정(2026-08-06): canonical contents.csv 포맷ID 연결 기준 4계정·4영상 확정(기존 1계정·1영상) | 대표배수중앙값 보정(2026-08-06): 대표영상URL 1개와 canonical contents.csv 배수 0.72에서 중앙값 0.72 산출; 소진도 정합성 보정(2026-08-06): 국내약사사용계정수 4건 기준으로 무주공산에서 소진로 정리
