# 초기화 시각: 2026-08-06T18:51:06+09:00
# 형식: 종류|식별자|보조 식별자|상태
queue|1|good.yaksa|완료
queue|2|wikiyaksa|완료
queue|3|yuni__yaksa|완료
queue|4|supermom_yaksa|보류
queue|5|teri_yaksa|보류
queue|6|dobi_yaksa|완료
queue|7|dreamyaksa_|보류
queue|8|lee_pharmacy_|완료
queue|9|simple.yaksa|보류
queue|10|yak_secret|완료
queue|11|yaksamom|완료
queue|12|ceci_yaksa|보류
queue|13|juny_yaksa|완료
queue|14|bro_yaksa|완료
queue|15|beige_yaksa|완료
queue|16|shine_yaksa|보류
queue|17|yakdangdang|보류
queue|18|bbuuu_yaksa|보류
queue|19|gureumpharm|보류
queue|20|liz_yaksa|보류
queue|21|kkumyak|보류
queue|22|jasin_yaksa|보류
queue|23|strawberry_yaksa|보류
queue|24|jy_yaksa|보류
queue|25|spring_pharmy|보류
queue|26|kmom_yaksa|보류
queue|27|pink_yak_|보류
queue|28|woori_yaksa|보류
queue|29|alpaca_yaksa|보류
queue|30|ggultip_yaksa|보류
queue|31|__kang.yaksa|보류
queue|32|dongne__yaksa|보류
queue|33|yewon.bak|보류
queue|34|hayu_pharmacist|보류
queue|35|yaksa_nam|보류
queue|36|yak_father|보류
queue|37|jay_yaksa|보류
queue|38|yaksa_mh|보류
queue|39|cho_yak|보류
queue|40|jenny_yaksa|보류
queue|41|ana_yaksa|보류
queue|42|fit_yaksa|보류
queue|43|yak.filter|보류
queue|44|pill_yaksa|보류
queue|45|youjin_yaksa|보류
queue|46|myyaksa|보류
queue|47|ddib_yaksa|보류
queue|48|sonyaksa_lab|보류
queue|49|zzin__yaksa|보류
queue|50|ssok_yaksa|보류
queue|51|hi_kim_yaksa|보류
queue|52|dani_yaksa|보류
queue|53|woojoobe.yak|보류
queue|54|jaedol_yaksa|보류
queue|55|malti_yaksa|보류
queue|56|time_yaksa|보류
queue|57|hongsee_yaksa|보류
queue|58|bada_yaksa|보류
queue|59|onda_pharmacist|보류
queue|60|ggogi_yaksa|보류
queue|61|yaksasum|보류
queue|62|ggnn_yaksa|보류
queue|63|healthy.yaksa|보류
queue|64|dang.dang_yaksa|보류
queue|65|mentor_pharm|완료
queue|66|run.pharmacist|완료
queue|67|gachiyaksa|완료
queue|68|yourhsis|완료
queue|69|yeogi_yaksa|완료
queue|70|realofh2o|완료
queue|71|manyjjju_yaksa|보류
queue|72|timepharm|보류
queue|73|malang.yaksa|보류
queue|74|heung_di|보류
queue|75|kkamang_yacksa|보류
queue|76|time4pharm|보류
queue|77|yak_guide|보류
queue|78|yaksa_hwanghaeyeon_|보류
queue|79|yulbang_counseling|보류
queue|80|ewha_yaksa|보류
queue|81|pharm_mison|보류
queue|82|pharmacist_bin|보류
queue|83|ummayaksa|보류
queue|84|miyu_pharm|완료
queue|85|jjukku_min.yaksa|보류
queue|86|ggul_yaksa|보류
queue|87|sue_yaksa|보류
queue|88|gmpharmacist|보류
queue|89|yes_yaksa|보류
queue|90|verdepharmacy1|보류
queue|91|dongdong_pharm|보류
queue|92|ez_yaksa|보류
queue|93|our_med._room|보류
queue|94|pharmacy_nana|보류
queue|95|gangnam_yaksa|보류
queue|96|medi2388_|보류
queue|97|yy_yaksa|완료
queue|98|choeunpharm|보류
queue|99|imagine_yaksa|보류
queue|100|realpharm5|보류
queue|101|muse_yaksa|보류
queue|102|yakalofficial|보류
queue|103|kangsoyeon__|보류
queue|104|lilly_yaksa|보류
queue|105|sani_and_haeng|보류
queue|106|medical_newsroom|보류
queue|107|knowledgeins_kr|보류
queue|108|mohw_kr|보류
queue|109|ssofit_yaksa|완료
