"순번","핸들","계정유형","팔로워수치","우선순위","상태","시도횟수","처리일시","보류사유"
"1","good.yaksa","국내 약사 인플루언서","289000","1","완료","1","2026-08-06T01:34:23.531Z",""
"2","wikiyaksa","국내 약사 인플루언서","253000","1","완료","1","2026-08-06T01:46:08.396Z",""
"3","yuni__yaksa","국내 약사 인플루언서","213000","1","완료","1","2026-08-06T01:51:42.258Z",""
"4","supermom_yaksa","국내 약사 인플루언서","176000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"5","teri_yaksa","국내 약사 인플루언서","156000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"6","dobi_yaksa","국내 약사 인플루언서","155000","1","완료","1","2026-08-06T01:53:46.916Z",""
"7","dreamyaksa_","국내 약사 인플루언서","150000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"8","lee_pharmacy_","국내 약사 인플루언서","138000","1","완료","1","2026-08-06T01:54:32.013Z",""
"9","simple.yaksa","국내 약사 인플루언서","136000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"10","yak_secret","국내 약사 인플루언서","129000","1","완료","1","2026-08-06T01:55:35.423Z",""
"11","yaksamom","국내 약사 인플루언서","129000","1","완료","1","2026-08-06T01:56:07.806Z",""
"12","ceci_yaksa","국내 약사 인플루언서","127000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"13","juny_yaksa","국내 약사 인플루언서","122000","1","완료","1","2026-08-06T01:56:52.562Z",""
"14","bro_yaksa","국내 약사 인플루언서","113000","1","완료","1","2026-08-06T01:57:24.768Z",""
"15","beige_yaksa","국내 약사 인플루언서","112000","1","완료","1","2026-08-06T01:58:09.562Z",""
"16","shine_yaksa","국내 약사 인플루언서","111000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"17","yakdangdang","국내 약사 인플루언서","109000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"18","bbuuu_yaksa","국내 약사 인플루언서","98000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"19","gureumpharm","국내 약사 인플루언서","98000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"20","liz_yaksa","국내 약사 인플루언서","96000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"21","kkumyak","국내 약사 인플루언서","89000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"22","jasin_yaksa","국내 약사 인플루언서","88000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"23","strawberry_yaksa","국내 약사 인플루언서","87000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"24","jy_yaksa","국내 약사 인플루언서","77000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"25","spring_pharmy","국내 약사 인플루언서","75000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"26","kmom_yaksa","국내 약사 인플루언서","66000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"27","pink_yak_","국내 약사 인플루언서","65000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"28","woori_yaksa","국내 약사 인플루언서","63000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"29","alpaca_yaksa","국내 약사 인플루언서","61000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"30","ggultip_yaksa","국내 약사 인플루언서","61000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"31","__kang.yaksa","국내 약사 인플루언서","57000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"32","dongne__yaksa","국내 약사 인플루언서","56000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"33","yewon.bak","국내 약사 인플루언서","55000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"34","hayu_pharmacist","국내 약사 인플루언서","54000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"35","yaksa_nam","국내 약사 인플루언서","54000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
"36","yak_father","국내 약사 인플루언서","53000","1","완료","1","2026-08-06T23:59:00+09:00","릴스 없음; 큐 완료 처리·재방문 30일"
