순번,핸들,계정유형,팔로워수치,우선순위,상태,시도횟수,처리일시,보류사유
1,good.yaksa,국내 약사 인플루언서,289000,1,완료,1,2026-08-06T01:34:23.531Z,
2,wikiyaksa,국내 약사 인플루언서,253000,1,완료,1,2026-08-06T01:46:08.396Z,
3,yuni__yaksa,국내 약사 인플루언서,213000,1,완료,1,2026-08-06T01:51:42.258Z,
4,supermom_yaksa,국내 약사 인플루언서,176000,1,보류,1,2026-08-06T01:52:31.396Z,릴스 없음
5,teri_yaksa,국내 약사 인플루언서,156000,1,보류,1,2026-08-06T01:53:14.510Z,릴스 없음
6,dobi_yaksa,국내 약사 인플루언서,155000,1,완료,1,2026-08-06T01:53:46.916Z,
7,dreamyaksa_,국내 약사 인플루언서,150000,1,보류,1,2026-08-06T01:53:59.322Z,릴스 없음
8,lee_pharmacy_,국내 약사 인플루언서,138000,1,완료,1,2026-08-06T01:54:32.013Z,
9,simple.yaksa,국내 약사 인플루언서,136000,1,보류,1,2026-08-06T01:54:44.376Z,릴스 없음
10,yak_secret,국내 약사 인플루언서,129000,1,완료,1,2026-08-06T01:55:35.423Z,
11,yaksamom,국내 약사 인플루언서,129000,1,완료,1,2026-08-06T01:56:07.806Z,
12,ceci_yaksa,국내 약사 인플루언서,127000,1,보류,1,2026-08-06T01:56:20.040Z,릴스 없음
13,juny_yaksa,국내 약사 인플루언서,122000,1,완료,1,2026-08-06T01:56:52.562Z,
14,bro_yaksa,국내 약사 인플루언서,113000,1,완료,1,2026-08-06T01:57:24.768Z,
15,beige_yaksa,국내 약사 인플루언서,112000,1,완료,1,2026-08-06T01:58:09.562Z,
16,shine_yaksa,국내 약사 인플루언서,111000,1,보류,1,2026-08-06T01:58:21.914Z,릴스 없음
17,yakdangdang,국내 약사 인플루언서,109000,1,보류,1,2026-08-06T01:58:34.245Z,릴스 없음
18,bbuuu_yaksa,국내 약사 인플루언서,98000,1,보류,1,2026-08-06T01:58:36.517Z,릴스 없음
19,gureumpharm,국내 약사 인플루언서,98000,1,보류,1,2026-08-06T01:58:48.752Z,릴스 없음
20,liz_yaksa,국내 약사 인플루언서,96000,1,보류,1,2026-08-06T02:01:10.050Z,릴스 없음
21,kkumyak,국내 약사 인플루언서,89000,1,보류,1,2026-08-06T02:02:57.627Z,릴스 없음
22,jasin_yaksa,국내 약사 인플루언서,88000,1,보류,1,2026-08-06T02:03:09.885Z,릴스 없음
23,strawberry_yaksa,국내 약사 인플루언서,87000,1,보류,1,2026-08-06T02:03:22.219Z,릴스 없음
24,jy_yaksa,국내 약사 인플루언서,77000,1,보류,1,2026-08-06T02:03:47.633Z,릴스 없음
25,spring_pharmy,국내 약사 인플루언서,75000,1,보류,1,2026-08-06T02:03:59.971Z,릴스 없음
26,kmom_yaksa,국내 약사 인플루언서,66000,1,보류,1,2026-08-06T02:04:12.198Z,릴스 없음
27,pink_yak_,국내 약사 인플루언서,65000,1,보류,1,2026-08-06T02:04:35.009Z,릴스 없음
28,woori_yaksa,국내 약사 인플루언서,63000,1,보류,1,2026-08-06T02:04:37.342Z,릴스 없음
29,alpaca_yaksa,국내 약사 인플루언서,61000,1,보류,1,2026-08-06T02:04:49.629Z,릴스 없음
30,ggultip_yaksa,국내 약사 인플루언서,61000,1,보류,1,2026-08-06T02:05:13.814Z,릴스 없음
31,__kang.yaksa,국내 약사 인플루언서,57000,1,보류,1,2026-08-06T02:05:26.078Z,릴스 없음
32,dongne__yaksa,국내 약사 인플루언서,56000,1,보류,1,2026-08-06T02:05:38.366Z,릴스 없음
33,yewon.bak,국내 약사 인플루언서,55000,1,보류,1,2026-08-06T02:06:16.733Z,릴스 없음
34,hayu_pharmacist,국내 약사 인플루언서,54000,1,보류,1,2026-08-06T02:06:29.068Z,릴스 없음
35,yaksa_nam,국내 약사 인플루언서,54000,1,보류,1,2026-08-06T02:06:41.375Z,릴스 없음
36,yak_father,국내 약사 인플루언서,53000,1,보류,1,2026-08-06T02:07:03.545Z,릴스 없음
37,jay_yaksa,국내 약사 인플루언서,51000,1,보류,1,2026-08-06T02:07:16.411Z,릴스 없음
38,yaksa_mh,국내 약사 인플루언서,50000,1,보류,1,2026-08-06T02:07:28.685Z,릴스 없음
39,cho_yak,국내 약사 인플루언서,49000,1,보류,1,2026-08-06T02:07:51.734Z,릴스 없음
40,jenny_yaksa,국내 약사 인플루언서,49000,1,보류,1,2026-08-06T02:08:04.065Z,릴스 없음
41,ana_yaksa,국내 약사 인플루언서,45000,1,보류,1,2026-08-06T02:08:50.266Z,릴스 없음
42,fit_yaksa,국내 약사 인플루언서,44000,1,보류,1,2026-08-06T02:09:02.552Z,릴스 없음
43,yak.filter,국내 약사 인플루언서,42000,1,보류,1,2026-08-06T02:09:14.824Z,릴스 없음
44,pill_yaksa,국내 약사 인플루언서,35000,1,보류,1,2026-08-06T02:09:37.388Z,릴스 없음
45,youjin_yaksa,국내 약사 인플루언서,30000,1,보류,1,2026-08-06T02:09:49.707Z,릴스 없음
